name,measure,measureInfo,geoTypeName,geoJoinId,geoPlaceName,timePeriod,start_date,dataValue,message
,,,,409.0,,,,0.3,
,,,,209.0,,,,1.2,
,,,,209.0,,,,8.6,
,,,,409.0,,,,8.0,
,,,,409.0,,,,6.1,
,,,,209.0,,,,10.0,
,,,,209.0,,,,9.8,
,,,,409.0,,,,9.8,
,,,,409.0,,,,9.6,
,,,,410.0,,,,7.2,
,,,,209.0,,,,8.2,
,,,,210.0,,,,8.1,
,,,,409.0,,,,6.8,
,,,,210.0,,,,6.8,
,,,,209.0,,,,10.6,
,,,,209.0,,,,7.1,
,,,,210.0,,,,0.9,
,,,,209.0,,,,1.7,
,,,,410.0,,,,0.0,
,,,,410.0,,,,6.9,
,,,,409.0,,,,10.8,
,,,,410.0,,,,9.4,
,,,,209.0,,,,7.1,
,,,,410.0,,,,9.5,
,,,,410.0,,,,6.0,
,,,,409.0,,,,6.4,
,,,,209.0,,,,18.6,
,,,,209.0,,,,17.7,
,,,,409.0,,,,25.7,
,,,,409.0,,,,16.1,
,,,,410.0,,,,12.7,
,,,,410.0,,,,11.4,
,,,,410.0,,,,8.6,
,,,,410.0,,,,20.7,
,,,,211.0,,,,9.7,
,,,,211.0,,,,12.3,
,,,,211.0,,,,12.2,
,,,,404.0,,,,8.8,
,,,,104.0,,,,10.4,
,,,,211.0,,,,7.2,
,,,,404.0,,,,6.3,
,,,,304.0,,,,10.4,
,,,,304.0,,,,14.4,
,,,,404.0,,,,7.4,
,,,,104.0,,,,11.5,
,,,,211.0,,,,7.4,
,,,,304.0,,,,11.4,
,,,,304.0,,,,8.5,
,,,,304.0,,,,11.4,
,,,,204.0,,,,7.1,
,,,,204.0,,,,8.3,
,,,,204.0,,,,9.7,
,,,,304.0,,,,33.7,
,,,,304.0,,,,26.5,
,,,,404.0,,,,26.2,
,,,,211.0,,,,23.1,
,,,,404.0,,,,16.6,
,,,,211.0,,,,19.0,
,,,,304.0,,,,23.4,
,,,,304.0,,,,27.1,
,,,,204.0,,,,7.8,
,,,,211.0,,,,9.2,
,,,,104.0,,,,10.3,
,,,,104.0,,,,10.3,
,,,,204.0,,,,6.7,
,,,,104.0,,,,8.5,
,,,,104.0,,,,7.2,
,,,,409.0,,,,8.2,
,,,,208.0,,,,8.0,
,,,,208.0,,,,7.0,
,,,,408.0,,,,6.4,
,,,,307.0,,,,10.3,
,,,,307.0,,,,8.2,
,,,,107.0,,,,7.9,
,,,,307.0,,,,10.3,
,,,,407.0,,,,6.6,
,,,,308.0,,,,12.0,
,,,,208.0,,,,15.6,
,,,,307.0,,,,30.3,
,,,,408.0,,,,19.0,
,,,,308.0,,,,31.6,
,,,,308.0,,,,30.2,
,,,,308.0,,,,25.6,
,,,,407.0,,,,18.6,
,,,,308.0,,,,10.2,
,,,,2.0,,,,10.4,
,,,,2.0,,,,10.3,
,,,,2.0,,,,7.8,
,,,,208.0,,,,6.4,
,,,,202.0,,,,10.1,
,,,,202.0,,,,8.4,
,,,,301.0,,,,9.5,
,,,,301.0,,,,11.0,
,,,,301.0,,,,7.8,
,,,,102.0,,,,13.4,
,,,,307.0,,,,12.4,
,,,,408.0,,,,10.5,
,,,,307.0,,,,30.1,
,,,,408.0,,,,16.2,
,,,,308.0,,,,17.9,
,,,,308.0,,,,24.7,
,,,,301.0,,,,10.4,
,,,,201.0,,,,9.0,
,,,,201.0,,,,11.5,
,,,,201.0,,,,7.4,
,,,,201.0,,,,21.2,
,,,,301.0,,,,20.6,
,,,,401.0,,,,31.5,
,,,,201.0,,,,14.1,
,,,,301.0,,,,13.5,
,,,,301.0,,,,7.3,
,,,,501.0,,,,7.3,
,,,,101.0,,,,7.0,
,,,,209.0,,,,8.5,
,,,,211.0,,,,10.0,
,,,,211.0,,,,8.2,
,,,,211.0,,,,9.4,
,,,,201.0,,,,23.7,
,,,,301.0,,,,19.9,
,,,,301.0,,,,21.2,
,,,,201.0,,,,22.9,
,,,,201.0,,,,32.2,
,,,,201.0,,,,26.8,
,,,,210.0,,,,7.5,
,,,,210.0,,,,6.5,
,,,,210.0,,,,13.1,
,,,,212.0,,,,10.2,
,,,,210.0,,,,8.4,
,,,,412.0,,,,6.6,
,,,,410.0,,,,6.9,
,,,,210.0,,,,6.9,
,,,,410.0,,,,7.8,
,,,,412.0,,,,10.0,
,,,,412.0,,,,10.1,
,,,,211.0,,,,11.4,
,,,,204.0,,,,10.9,
,,,,304.0,,,,23.2,
,,,,304.0,,,,22.2,
,,,,304.0,,,,15.7,
,,,,104.0,,,,17.9,
,,,,211.0,,,,21.0,
,,,,304.0,,,,22.1,
,,,,104.0,,,,21.8,
,,,,211.0,,,,10.9,
,,,,211.0,,,,9.6,
,,,,104.0,,,,10.6,
,,,,104.0,,,,10.5,
,,,,207.0,,,,9.4,
,,,,307.0,,,,9.2,
,,,,207.0,,,,10.6,
,,,,207.0,,,,10.6,
,,,,207.0,,,,7.4,
,,,,207.0,,,,8.7,
,,,,207.0,,,,7.4,
,,,,414.0,,,,9.4,
,,,,414.0,,,,9.4,
,,,,307.0,,,,7.3,
,,,,107.0,,,,11.4,
,,,,107.0,,,,11.4,
,,,,407.0,,,,8.3,
,,,,407.0,,,,7.0,
,,,,414.0,,,,9.6,
,,,,414.0,,,,7.6,
,,,,414.0,,,,10.3,
,,,,107.0,,,,12.1,
,,,,407.0,,,,16.6,
,,,,407.0,,,,17.2,
,,,,304.0,,,,9.4,
,,,,304.0,,,,7.5,
,,,,304.0,,,,7.3,
,,,,303.0,,,,8.8,
,,,,303.0,,,,8.1,
,,,,403.0,,,,7.2,
,,,,303.0,,,,6.8,
,,,,2.0,,,,18.5,
,,,,207.0,,,,21.4,
,,,,208.0,,,,20.9,
,,,,408.0,,,,17.9,
,,,,408.0,,,,13.1,
,,,,307.0,,,,27.0,
,,,,208.0,,,,21.2,
,,,,207.0,,,,19.0,
,,,,307.0,,,,20.2,
,,,,408.0,,,,22.3,
,,,,304.0,,,,27.7,
,,,,404.0,,,,26.7,
,,,,304.0,,,,15.5,
,,,,208.0,,,,53.39999999999999,
